,,APOSENTADORIA COMPULSÓRIA,,,,,,,,,
,,,,,,,,,,,
Validação PGE,Validação presidência,Norma e situação,Marco de ingresso / enquadramento temporal,Idade – homens e mulheres,Tempo de contribuição – homem,Tempo de contribuição – mulher,Proteção pelo art. 4º da EC nº 146/2021,Base e fórmula de cálculo,Proventos,Paridade?,Fundamento adotado pela Procuradoria
False,False,"Compulsória LC nº 432/2008
",-,"70 anos (caso tenha alcançado o requisito antes da alteração da LC nº 152/15) ou 75 anos (caso tenha alcançado o requisito antes da alteração da LC nº 152/15), sem distinção de sexo.","
Proporção: denominador de 35 anos, pela combinação dos arts. 17 e 22.","Proporção: denominador de 30 anos, pela combinação dos arts. 17 e 22.", Requisitos protegidos pelo art. 4º da EC/RO nº 146/2021.,"Média aritmética simples das 80% maiores remunerações, sobre a qual incide a proporcionalidade do tempo de contribuição",Proporcionais ao tempo de contribuição,Não,"70 anos - Artigo 40, § 1º, inciso II, da Constituição Federal, com redação dada pela Emenda Constitucional nº 20/1998, combinado com os artigos 17, caput e § 1º, 21, § 1º, 45 e 62 da Lei Complementar Estadual nº 432/2008.                                                                                                                                                                75 anos - artigo 40, § 1º, inciso II, da Constituição Federal, com redação da EC nº 88/2015, em conformidade com a LC nº 152/2015, combinado com os artigos 17, caput e § 1º, 21, § 1º, 45 e 62 da LC nº 432/2008 e com o art. 4º da EC Estadual nº 146/2021."
False,False,"Compulsória LC nº 1.100/2021
",-,"75 anos, sem distinção de sexo.","Proporção: denominador de 25 anos para ambos, pela combinação dos arts. 26 e 32.","Proporção: denominador de 25 anos para ambos, pela combinação dos arts. 26 e 32.",-,"Média aritmética simples das 80% maiores remunerações, sobre a qual incide a proporcionalidade do tempo de contribuição",Proporcionais ao tempo de contribuição,Não,"Artigo 40, § 1º, inciso II, da Constituição Federal, com redação dada pela Emenda Constitucional nº 88/2015, em conformidade com a Lei Complementar nº 152/2015, combinado com os artigos 24, 26, 27, inciso II, e 31 da Lei Complementar Estadual nº 1.100/2021."
