,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOME,TIPO DE BENEFICIO,ATUALMENTE NO SISTEMA,CICLO DE VALIDAÇÃO,VALIDADO PGE,VALIDADO PRESIDENCIA,SIMULAVEL,TIPO,APOS_ESPECIAL,TIPO_REMUN,PARIDADE,TabelaPontuacao,Requisitos da IN Nº 5/2020,Relatório p/ Reserva Remunerada por Idade ex-officio,ADICIONAL_INATIVIDADE,DATA_ADM_ATE,DATA_ADM_APOS,DATA_DIREITO_ATE,DATA_DIREITO_APOS,FUNDAMENTACAO_PROPORCIONAL,VISIVEL DTC PROPORCIONAL,FUNDAMENTACAO_INTEGRAL,VISIVEL DTC INTEGRAL,SEXO,INTEGRAL,TIPO_CALCULO,FUNDAMENTACAO,status_regra,motivo_inativacao,status_auditoria,auditado_por,auditado_em,atos_validacao,dispositivos,precedentes,disposicao_de_achados
Pensão por Morte oriunda do Art. 3º da Emenda Constitucional nº 47/2005 c/c art. 4º da EC nº 146/2021,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2099 00:00,01/01/1950 00:00,31/12/2024 00:00,31/12/2003 00:00,,N,"art. 40, § 7, I da CF/88 com redação da EC 41/2003 c/c art. 3º, § único da EC 47/2005",N,AMBOS,S,Valor Efetivo mais 70% do que exceder do Teto RGPS,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7-inc-i/ec-41-2003.md"", ""/dispositivos/ec-47-2005/art-3-par-unico/original.md""]",[],[]
"Pensão Morte Art. 40, §7 da EC 41/2003 e Art.28 da LC 432/2008 e alterações da LC 949/2017 e Art.4º da ECE 146/2021",PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,N,N,N,N,N,31/12/2099 00:00,01/01/1950 00:00,31/12/2024 00:00,31/12/2003 00:00,,N,"Pensão mensal, com fundamento nos artigos 10, I; 28, I; 30, II; 31, §§ 1º e 2º; 32, I e II, “a”, e § 1º; 33; 34, I a III, e § 2º; 38; e 62 da Lei Complementar Estadual nº 432/2008, com redação dada pela Lei Complementar Estadual nº 949/2017, bem como no artigo 4º da Emenda Constitucional Estadual nº 146/2021, artigo 40, § 7º, II, § 8º da Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003 e artigo 40, § 7º da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,AMBOS,S,Valor Efetivo mais 70% do que exceder do Teto RGPS,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7-inc-ii/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/cf88/art-40-par-8/ec-41-2003.md"", ""/dispositivos/ece-146-2021/art-4/original.md"", ""/dispositivos/lce-432-2008/art-10-inc-i/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-32-inc-ii-al-a/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-32-par-1/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-33/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-34-inc-i/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-34-par-2/lce-949-2017.md""]",[],[]
"Pensão Morte Art. 40, §7 da EC 41/2003 e Art.28 da LC 432/2008 e alterações da LC 949/2017 e Art.4º da ECE 146/2021",PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,N,N,N,N,N,31/12/2099 00:00,01/01/1950 00:00,31/12/2024 00:00,31/12/2003 00:00,,N,"Pensão mensal, com fundamento nos artigos 10, I; 28, I; 30, II; 31, §§ 1º e 2º; 32, I e II, “a”, e § 1º; 33; 34, I a III, e § 2º; 38; e 62 da Lei Complementar Estadual nº 432/2008, com redação dada pela Lei Complementar Estadual nº 949/2017, bem como no artigo 4º da Emenda Constitucional Estadual nº 146/2021, artigo 40, § 7º, II, § 8º da Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003 e artigo 40, § 7º da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,AMBOS,S,Valor Efetivo mais 70% do que exceder do Teto RGPS,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7-inc-ii/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/cf88/art-40-par-8/ec-41-2003.md"", ""/dispositivos/ece-146-2021/art-4/original.md"", ""/dispositivos/lce-432-2008/art-10-inc-i/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-32-inc-ii-al-a/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-32-par-1/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-33/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-34-inc-i/lce-949-2017.md"", ""/dispositivos/lce-432-2008/art-34-par-2/lce-949-2017.md""]",[],[]
Pensão por Morte - Art. 46 da Lei Complementar 1.100/2021,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,N,N,N,N,N,31/12/2099 00:00,01/01/2004 00:00,31/12/2099 00:00,01/01/2024 00:00,,N,"Pensão mensal, com fundamento nos artigos 27, inciso I; 46, inciso I; 47, inciso I e II; 49; 50; 51, inciso I, II, III e VIII, alínea ""c"", todos da Lei Complementar Estadual nº 1.100/2021 e artigo 40, § 7º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,AMBOS,N,Tipo Cálculo Nova Previdência Pensão por morte,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-46-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-49/original.md"", ""/dispositivos/lce-1100-2021/art-50/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-iii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-viii-al-c/original.md""]",[],[]
Pensão por Morte - Art. 46 da Lei Complementar 1.100/2021,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,N,N,N,N,N,31/12/2099 00:00,01/01/2004 00:00,31/12/2099 00:00,01/01/2024 00:00,,N,"Pensão mensal, com fundamento nos artigos 27, inciso I; 46, inciso I; 47, inciso I e II; 49; 50; 51, inciso I, II, III e VIII, alínea ""c"", todos da Lei Complementar Estadual nº 1.100/2021 e artigo 40, § 7º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,AMBOS,N,Tipo Cálculo Nova Previdência Pensão por morte,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-46-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-49/original.md"", ""/dispositivos/lce-1100-2021/art-50/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-iii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-viii-al-c/original.md""]",[],[]
Pensão por Morte - Art. 46 da Lei Complementar 1.100/2021 - Paridade,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,01/01/2024 00:00,,N,"Pensão mensal, com fundamento nos artigos 27, inciso I; 46, inciso I; 47, inciso I e II; 49; 50; 51, inciso I, II, III e VIII, alínea ""c"", todos da Lei Complementar Estadual nº 1.100/2021 e artigo 40, § 7º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,MASCULINO,N,Tipo Cálculo Nova Previdência Pensão por morte,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-46-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-49/original.md"", ""/dispositivos/lce-1100-2021/art-50/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-iii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-viii-al-c/original.md""]",[],[]
Pensão por Morte - Art. 46 da Lei Complementar 1.100/2021 - Paridade,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,01/01/2024 00:00,,N,"Pensão mensal, com fundamento nos artigos 27, inciso I; 46, inciso I; 47, inciso I e II; 49; 50; 51, inciso I, II, III e VIII, alínea ""c"", todos da Lei Complementar Estadual nº 1.100/2021 e artigo 40, § 7º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,FEMININO,N,Tipo Cálculo Nova Previdência Pensão por morte,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-46-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-49/original.md"", ""/dispositivos/lce-1100-2021/art-50/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-iii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-viii-al-c/original.md""]",[],[]
Pensão por Morte - Art. 46 da Lei Complementar 1.100/2021 - Paridade,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,01/01/2024 00:00,,N,"Pensão mensal, com fundamento nos artigos 27, inciso I; 46, inciso I; 47, inciso I e II; 49; 50; 51, inciso I, II, III e VIII, alínea ""c"", todos da Lei Complementar Estadual nº 1.100/2021 e artigo 40, § 7º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019 - pensão vitalícia e temporária",N,AMBOS,N,Tipo Cálculo Nova Previdência Pensão por morte,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-46-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-47-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-49/original.md"", ""/dispositivos/lce-1100-2021/art-50/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-ii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-iii/original.md"", ""/dispositivos/lce-1100-2021/art-51-inc-viii-al-c/original.md""]",[],[]
"Incapacidade Perm.- Art. 40, §1º, I da CF com redaçao da EC 103/19 c/c art. 30 da Lc nº 1100/21 - Até 31/12/2003",APOSENTADORIA POR INCAPACIDADE PERMANENTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,23/10/2021 00:00,,N,"Aposentadoria por incapacidade permanente, com proventos integrais (cálculo por integralidade) e com paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional n. 103/2019 e os artigos 25 e 27, inciso I e 30, §8°, da Lei Complementar Estadual nº 1.100/2021 - fundamento - incapacidade - LCE 1.100/2021 (acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável, com ingresso antes de 2004)",N,AMBOS,S,Valor Efetivo,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-25/original.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-30-par-8/original.md""]",[],[]
"Incapacidade Perm.- Art. 40, §1º, I da CF com redaçao da EC 103/19 c/c art. 30 da Lc nº 1100/21 - Até 31/12/2003",APOSENTADORIA POR INCAPACIDADE PERMANENTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,23/10/2021 00:00,,N,"Aposentadoria por incapacidade permanente, com proventos integrais (cálculo por integralidade) e com paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional n. 103/2019 e os artigos 25 e 27, inciso I e 30, §8°, da Lei Complementar Estadual nº 1.100/2021 - fundamento - incapacidade - LCE 1.100/2021 (acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável, com ingresso antes de 2004)",N,AMBOS,N,Proporcionalidade Dias,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-103-2019.md"", ""/dispositivos/lce-1100-2021/art-25/original.md"", ""/dispositivos/lce-1100-2021/art-27-inc-i/original.md"", ""/dispositivos/lce-1100-2021/art-30-par-8/original.md""]",[],[]
